Using device: cuda
Epoch [1/50], Step [550/938], D_loss: 0.1552, G_loss: 2.8279, D(x): 0.92, D(G(z)): 0.07
Epoch [1/50], Step [560/938], D_loss: 0.1312, G_loss: 3.1658, D(x): 0.94, D(G(z)): 0.07
Epoch [1/50], Step [570/938], D_loss: 0.1270, G_loss: 3.0600, D(x): 0.95, D(G(z)): 0.07
Epoch [1/50], Step [580/938], D_loss: 0.1255, G_loss: 3.0037, D(x): 0.94, D(G(z)): 0.07
Epoch [1/50], Step [590/938], D_loss: 0.1265, G_loss: 3.0198, D(x): 0.95, D(G(z)): 0.07
Epoch [1/50], Step [600/938], D_loss: 0.1395, G_loss: 3.0029, D(x): 0.95, D(G(z)): 0.08
Epoch [1/50], Step [610/938], D_loss: 0.1382, G_loss: 3.1750, D(x): 0.95, D(G(z)): 0.08
Epoch [1/50], Step [620/938], D_loss: 0.9638, G_loss: 1.2884, D(x): 0.43, D(G(z)): 0.08
Epoch [1/50], Step [630/938], D_loss: 0.4627, G_loss: 1.7242, D(x): 0.77, D(G(z)): 0.18
Epoch [1/50], Step [640/938], D_loss: 0.2522, G_loss: 2.4556, D(x): 0.89, D(G(z)): 0.13
Epoch [1/50], Step [650/938], D_loss: 0.2384, G_loss: 2.6018, D(x): 0.90, D(G(z)): 0.12
Epoch [1/50], Step [660/938], D_loss: 0.1365, G_loss: 3.0394, D(x): 0.94, D(G(z)): 0.07
Epoch [1/50], Step [670/938], D_loss: 0.1631, G_loss: 2.6432, D(x): 0.91, D(G(z)): 0.06
Epoch [1/50], Step [680/938], D_loss: 0.1525, G_loss: 2.7287, D(x): 0.93, D(G(z)): 0.08
Epoch [1/50], Step [690/938], D_loss: 0.1089, G_loss: 2.8661, D(x): 0.95, D(G(z)): 0.05
Epoch [1/50], Step [700/938], D_loss: 0.9955, G_loss: 3.9452, D(x): 0.93, D(G(z)): 0.57
Epoch [1/50], Step [710/938], D_loss: 0.7306, G_loss: 1.4342, D(x): 0.67, D(G(z)): 0.26
Epoch [1/50], Step [720/938], D_loss: 0.5802, G_loss: 2.2956, D(x): 0.86, D(G(z)): 0.34
Epoch [1/50], Step [730/938], D_loss: 0.3081, G_loss: 1.7611, D(x): 0.82, D(G(z)): 0.10
Epoch [1/50], Step [740/938], D_loss: 0.4447, G_loss: 2.2214, D(x): 0.83, D(G(z)): 0.23
Epoch [1/50], Step [750/938], D_loss: 0.2643, G_loss: 2.2229, D(x): 0.88, D(G(z)): 0.12
Epoch [1/50], Step [760/938], D_loss: 0.1534, G_loss: 2.7669, D(x): 0.93, D(G(z)): 0.08
Epoch [1/50], Step [770/938], D_loss: 0.1832, G_loss: 2.2569, D(x): 0.88, D(G(z)): 0.05
Epoch [1/50], Step [780/938], D_loss: 0.1178, G_loss: 3.1537, D(x): 0.96, D(G(z)): 0.07
Epoch [1/50], Step [790/938], D_loss: 0.3445, G_loss: 2.7480, D(x): 0.92, D(G(z)): 0.23
Epoch [1/50], Step [800/938], D_loss: 0.4200, G_loss: 1.6123, D(x): 0.77, D(G(z)): 0.14
Epoch [1/50], Step [810/938], D_loss: 0.1858, G_loss: 2.9436, D(x): 0.92, D(G(z)): 0.09
Epoch [1/50], Step [820/938], D_loss: 0.1218, G_loss: 3.1680, D(x): 0.94, D(G(z)): 0.06
Epoch [1/50], Step [830/938], D_loss: 0.1499, G_loss: 2.5136, D(x): 0.90, D(G(z)): 0.04
Epoch [1/50], Step [840/938], D_loss: 0.1377, G_loss: 2.6707, D(x): 0.92, D(G(z)): 0.05
Epoch [1/50], Step [850/938], D_loss: 0.1187, G_loss: 3.2925, D(x): 0.97, D(G(z)): 0.08
Epoch [1/50], Step [860/938], D_loss: 0.1147, G_loss: 3.5726, D(x): 0.97, D(G(z)): 0.08
Epoch [1/50], Step [870/938], D_loss: 0.1328, G_loss: 3.0749, D(x): 0.94, D(G(z)): 0.07
Epoch [1/50], Step [880/938], D_loss: 0.0906, G_loss: 3.2270, D(x): 0.95, D(G(z)): 0.04
Epoch [1/50], Step [890/938], D_loss: 0.7209, G_loss: 5.6621, D(x): 0.94, D(G(z)): 0.44
Epoch [1/50], Step [900/938], D_loss: 0.4356, G_loss: 1.6722, D(x): 0.79, D(G(z)): 0.17
Epoch [1/50], Step [910/938], D_loss: 0.2661, G_loss: 2.3658, D(x): 0.87, D(G(z)): 0.12
Epoch [1/50], Step [920/938], D_loss: 0.1498, G_loss: 2.8353, D(x): 0.93, D(G(z)): 0.07
Epoch [1/50], Step [930/938], D_loss: 0.1966, G_loss: 3.1829, D(x): 0.95, D(G(z)): 0.13
Epoch [2/50], Step [10/938], D_loss: 0.3900, G_loss: 1.7262, D(x): 0.80, D(G(z)): 0.14
Epoch [2/50], Step [20/938], D_loss: 0.2511, G_loss: 2.3440, D(x): 0.86, D(G(z)): 0.09
Epoch [2/50], Step [30/938], D_loss: 0.2266, G_loss: 2.2446, D(x): 0.87, D(G(z)): 0.08
Epoch [2/50], Step [40/938], D_loss: 0.2090, G_loss: 2.4079, D(x): 0.88, D(G(z)): 0.08
Epoch [2/50], Step [50/938], D_loss: 0.1888, G_loss: 2.8312, D(x): 0.93, D(G(z)): 0.11
Epoch [2/50], Step [60/938], D_loss: 0.1882, G_loss: 2.0395, D(x): 0.88, D(G(z)): 0.06
Epoch [2/50], Step [70/938], D_loss: 0.6767, G_loss: 1.5813, D(x): 0.83, D(G(z)): 0.38
Epoch [2/50], Step [80/938], D_loss: 0.4508, G_loss: 2.0741, D(x): 0.83, D(G(z)): 0.22
Epoch [2/50], Step [90/938], D_loss: 0.2566, G_loss: 2.5277, D(x): 0.87, D(G(z)): 0.11
Epoch [2/50], Step [100/938], D_loss: 0.2778, G_loss: 3.1506, D(x): 0.94, D(G(z)): 0.19
Epoch [2/50], Step [110/938], D_loss: 0.1767, G_loss: 2.4589, D(x): 0.91, D(G(z)): 0.08
Epoch [2/50], Step [120/938], D_loss: 0.1662, G_loss: 2.4519, D(x): 0.91, D(G(z)): 0.07
Epoch [2/50], Step [130/938], D_loss: 1.0895, G_loss: 0.0646, D(x): 0.42, D(G(z)): 0.04
Epoch [2/50], Step [140/938], D_loss: 0.4606, G_loss: 1.8268, D(x): 0.81, D(G(z)): 0.21
Epoch [2/50], Step [150/938], D_loss: 0.3507, G_loss: 1.6860, D(x): 0.81, D(G(z)): 0.12
Epoch [2/50], Step [160/938], D_loss: 0.2255, G_loss: 3.0289, D(x): 0.94, D(G(z)): 0.15
Epoch [2/50], Step [170/938], D_loss: 0.1714, G_loss: 3.1900, D(x): 0.92, D(G(z)): 0.08
Epoch [2/50], Step [180/938], D_loss: 0.2049, G_loss: 2.7884, D(x): 0.91, D(G(z)): 0.10
Epoch [2/50], Step [190/938], D_loss: 0.8184, G_loss: 2.2950, D(x): 0.97, D(G(z)): 0.53
Epoch [2/50], Step [200/938], D_loss: 0.3427, G_loss: 1.5334, D(x): 0.76, D(G(z)): 0.04
Epoch [2/50], Step [210/938], D_loss: 0.2191, G_loss: 2.7374, D(x): 0.91, D(G(z)): 0.12
Epoch [2/50], Step [220/938], D_loss: 0.1802, G_loss: 2.4291, D(x): 0.87, D(G(z)): 0.04
Epoch [2/50], Step [230/938], D_loss: 0.1554, G_loss: 2.8397, D(x): 0.92, D(G(z)): 0.07
Epoch [2/50], Step [240/938], D_loss: 0.5833, G_loss: 1.7258, D(x): 0.65, D(G(z)): 0.09
Epoch [2/50], Step [250/938], D_loss: 0.2530, G_loss: 2.5615, D(x): 0.90, D(G(z)): 0.13
Epoch [2/50], Step [260/938], D_loss: 0.2381, G_loss: 2.3089, D(x): 0.89, D(G(z)): 0.11
Epoch [2/50], Step [270/938], D_loss: 0.1996, G_loss: 2.8487, D(x): 0.93, D(G(z)): 0.12
Epoch [2/50], Step [280/938], D_loss: 0.4203, G_loss: 4.4655, D(x): 0.97, D(G(z)): 0.31
Epoch [2/50], Step [290/938], D_loss: 0.1990, G_loss: 3.1222, D(x): 0.87, D(G(z)): 0.06
Epoch [2/50], Step [300/938], D_loss: 0.2622, G_loss: 2.9591, D(x): 0.92, D(G(z)): 0.16
Epoch [2/50], Step [310/938], D_loss: 0.1866, G_loss: 2.1420, D(x): 0.89, D(G(z)): 0.07
Epoch [2/50], Step [320/938], D_loss: 5.4002, G_loss: 0.8935, D(x): 0.02, D(G(z)): 0.00
Epoch [2/50], Step [330/938], D_loss: 0.4426, G_loss: 1.8259, D(x): 0.74, D(G(z)): 0.11
Epoch [2/50], Step [340/938], D_loss: 0.3583, G_loss: 2.2810, D(x): 0.90, D(G(z)): 0.21
Epoch [2/50], Step [350/938], D_loss: 0.2298, G_loss: 2.8779, D(x): 0.91, D(G(z)): 0.13
Epoch [2/50], Step [360/938], D_loss: 0.2934, G_loss: 1.6024, D(x): 0.82, D(G(z)): 0.07
Epoch [2/50], Step [370/938], D_loss: 0.8923, G_loss: 2.5127, D(x): 0.87, D(G(z)): 0.50
Epoch [2/50], Step [380/938], D_loss: 0.5043, G_loss: 1.5940, D(x): 0.78, D(G(z)): 0.21
Epoch [2/50], Step [390/938], D_loss: 0.3431, G_loss: 2.1698, D(x): 0.82, D(G(z)): 0.12
Epoch [2/50], Step [400/938], D_loss: 0.3821, G_loss: 2.8777, D(x): 0.92, D(G(z)): 0.24
Epoch [2/50], Step [410/938], D_loss: 0.2486, G_loss: 2.4028, D(x): 0.89, D(G(z)): 0.12
Epoch [2/50], Step [420/938], D_loss: 0.9932, G_loss: 2.4233, D(x): 0.98, D(G(z)): 0.60
Epoch [2/50], Step [430/938], D_loss: 0.3818, G_loss: 2.4177, D(x): 0.89, D(G(z)): 0.22
Epoch [2/50], Step [440/938], D_loss: 0.3009, G_loss: 2.2141, D(x): 0.79, D(G(z)): 0.04
Epoch [2/50], Step [450/938], D_loss: 0.2768, G_loss: 3.7996, D(x): 0.95, D(G(z)): 0.19
Epoch [2/50], Step [460/938], D_loss: 0.3652, G_loss: 1.8654, D(x): 0.85, D(G(z)): 0.17
Epoch [2/50], Step [470/938], D_loss: 0.2063, G_loss: 2.4545, D(x): 0.90, D(G(z)): 0.09
Epoch [2/50], Step [480/938], D_loss: 0.3157, G_loss: 1.3850, D(x): 0.79, D(G(z)): 0.05
Epoch [2/50], Step [490/938], D_loss: 0.1850, G_loss: 2.6415, D(x): 0.90, D(G(z)): 0.07
Epoch [2/50], Step [500/938], D_loss: 0.2840, G_loss: 1.7403, D(x): 0.81, D(G(z)): 0.05
Epoch [2/50], Step [510/938], D_loss: 0.5718, G_loss: 4.5026, D(x): 0.98, D(G(z)): 0.41
Epoch [2/50], Step [520/938], D_loss: 0.4894, G_loss: 1.5563, D(x): 0.83, D(G(z)): 0.24
Epoch [2/50], Step [530/938], D_loss: 0.4727, G_loss: 1.6174, D(x): 0.77, D(G(z)): 0.17
Epoch [2/50], Step [540/938], D_loss: 0.5233, G_loss: 1.5066, D(x): 0.71, D(G(z)): 0.11
Epoch [2/50], Step [550/938], D_loss: 0.3808, G_loss: 2.0827, D(x): 0.82, D(G(z)): 0.15
Epoch [2/50], Step [560/938], D_loss: 0.3285, G_loss: 2.6275, D(x): 0.91, D(G(z)): 0.20
Epoch [2/50], Step [570/938], D_loss: 0.2514, G_loss: 2.1384, D(x): 0.86, D(G(z)): 0.09
Epoch [2/50], Step [580/938], D_loss: 0.2860, G_loss: 2.1867, D(x): 0.79, D(G(z)): 0.04
Epoch [2/50], Step [590/938], D_loss: 0.4151, G_loss: 3.4646, D(x): 0.96, D(G(z)): 0.30
Epoch [2/50], Step [600/938], D_loss: 0.7201, G_loss: 2.0455, D(x): 0.84, D(G(z)): 0.39
Epoch [2/50], Step [610/938], D_loss: 0.5437, G_loss: 2.2860, D(x): 0.87, D(G(z)): 0.32
Epoch [2/50], Step [620/938], D_loss: 0.4565, G_loss: 2.6232, D(x): 0.88, D(G(z)): 0.27
Epoch [2/50], Step [630/938], D_loss: 0.4215, G_loss: 1.8123, D(x): 0.77, D(G(z)): 0.13
Epoch [2/50], Step [640/938], D_loss: 0.2627, G_loss: 2.4019, D(x): 0.87, D(G(z)): 0.11
Epoch [2/50], Step [650/938], D_loss: 0.3095, G_loss: 2.4538, D(x): 0.89, D(G(z)): 0.16
Epoch [2/50], Step [660/938], D_loss: 0.2549, G_loss: 1.8749, D(x): 0.83, D(G(z)): 0.05
Epoch [2/50], Step [670/938], D_loss: 1.0759, G_loss: 5.8186, D(x): 0.97, D(G(z)): 0.62
Epoch [2/50], Step [680/938], D_loss: 0.7652, G_loss: 1.9566, D(x): 0.84, D(G(z)): 0.42
Epoch [2/50], Step [690/938], D_loss: 0.5764, G_loss: 1.4032, D(x): 0.70, D(G(z)): 0.17
Epoch [2/50], Step [700/938], D_loss: 0.4536, G_loss: 2.1003, D(x): 0.83, D(G(z)): 0.22
Epoch [2/50], Step [710/938], D_loss: 0.4443, G_loss: 1.4158, D(x): 0.74, D(G(z)): 0.08
Epoch [2/50], Step [720/938], D_loss: 0.3166, G_loss: 2.2283, D(x): 0.85, D(G(z)): 0.13
Epoch [2/50], Step [730/938], D_loss: 0.2261, G_loss: 2.3531, D(x): 0.88, D(G(z)): 0.09
Epoch [2/50], Step [740/938], D_loss: 0.3556, G_loss: 1.3804, D(x): 0.76, D(G(z)): 0.06
Epoch [2/50], Step [750/938], D_loss: 0.3643, G_loss: 1.3117, D(x): 0.78, D(G(z)): 0.08
Epoch [2/50], Step [760/938], D_loss: 0.3685, G_loss: 3.5997, D(x): 0.94, D(G(z)): 0.25
Epoch [2/50], Step [770/938], D_loss: 0.3264, G_loss: 2.2384, D(x): 0.87, D(G(z)): 0.16
Epoch [2/50], Step [780/938], D_loss: 0.2685, G_loss: 2.4358, D(x): 0.89, D(G(z)): 0.13
Epoch [2/50], Step [790/938], D_loss: 0.2774, G_loss: 3.1961, D(x): 0.95, D(G(z)): 0.20
Epoch [2/50], Step [800/938], D_loss: 0.3104, G_loss: 1.2744, D(x): 0.80, D(G(z)): 0.06
Epoch [2/50], Step [810/938], D_loss: 0.6900, G_loss: 1.5881, D(x): 0.88, D(G(z)): 0.41
Epoch [2/50], Step [820/938], D_loss: 0.4526, G_loss: 1.8407, D(x): 0.76, D(G(z)): 0.14
Epoch [2/50], Step [830/938], D_loss: 0.5259, G_loss: 2.3988, D(x): 0.92, D(G(z)): 0.34
Epoch [2/50], Step [840/938], D_loss: 0.3079, G_loss: 2.5741, D(x): 0.82, D(G(z)): 0.09
Epoch [2/50], Step [850/938], D_loss: 0.3077, G_loss: 2.5630, D(x): 0.91, D(G(z)): 0.18
